minute,actual_requests,predicted_requests,response_time,vms_count
98,31585,31573.02955026753,188.76716168567697,31
99,29988,29988.37770084328,195.02103356763627,29
100,28639,28635.646526861965,190.38607061119166,28
101,27200,27224.212550307282,200.043720040623,26
102,25421,25440.06386813145,187.9366842207699,25
103,23378,23390.33257941656,187.77113541505122,23
104,21499,21510.626784437332,190.77216980413579,21
105,19957,19943.082972409822,201.8058349885843,19
106,18413,18402.450325657333,190.43655794521902,18
107,16575,16545.176179702667,195.79473127560578,16
108,14498,14514.14287411863,195.64307005285667,14
109,12704,12685.407397711433,205.29124600778647,12
110,11286,11277.717456579403,191.69205658753918,11
111,9909,9948.156043999352,177.43739032544084,10
112,8361,8355.176753444763,199.61438316095774,8
113,6668,6670.56567599928,162.28378341559363,7
114,5332,5268.3158053616735,208.55847685239297,5
115,4339,4353.903419140726,216.38544018239355,4
116,3537,3526.402550728324,136.30327835452164,4
117,2522,2515.471701436476,120.39525242974292,3
118,1430,1463.1997866906695,77.26548122702405,2
119,760,740.4283448883416,92.25640138114755,1
120,516,501.8390921014052,16.57920603786158,1
121,439,426.76608615691293,10.0,1
122,157,181.817596230263,10.0,1
123,0,0.0,10.0,1
124,0,0.0,10.0,1
125,533,554.0345290551722,21.425485436165502,1
126,1284,1251.8208340523215,308.4911257338562,1
127,1763,1782.4334003576205,135.2844672393109,2
128,2259,2303.9261790077126,89.89196155323748,3
129,3106,3116.7349164017633,195.5444503931812,3
130,4388,4406.552752708209,133.84311612719733,5
131,5787,5803.486047837471,166.95443254056448,6
132,7027,7042.6813516758475,182.65694065058284,7
133,8115,8145.996678572676,186.93038321153762,8
134,9553,9535.560322623389,206.46269464648066,9
135,11344,11380.871042513048,193.8651775377445,11
136,13282,13237.788945272358,189.92287661238282,13
137,14849,14873.561397718346,177.0499648500193,15
138,16314,16325.550860391038,189.07580502919262,16
139,18022,18038.96874688552,181.59150121831425,18
140,20010,20017.3172375172,202.97510475512325,19
141,22068,22048.22923331013,202.01052129327974,21
142,23774,23757.675664925388,194.84859823322387,23
143,25169,25196.67259755586,183.8331000485951,25
144,26816,26810.037730711316,193.91138235164914,26
145,28703,28687.766646235097,191.3248999813573,28
146,30528,30493.563087722512,188.24730934729104,30
147,31891,31919.103268370316,192.82108219349306,31
148,32994,33011.046936456856,193.77837324720014,32
149,34233,34212.49191289507,196.38595840534373,33
150,35643,35615.40225317381,200.95018701650935,34
151,36930,36931.81588494797,191.62350249052287,36
152,37758,37748.65864015136,201.16338555413535,36
153,38218,38214.49004602959,194.54536295004863,37
154,38772,38769.29075963448,189.35871099484206,38
155,39485,39507.82315278468,197.09788460596707,38
156,40019,40016.57548741261,191.7447961936013,39
157,40137,40111.01442246656,192.99088712236204,39
158,39813,39812.470871343234,200.69393609166008,38
159,39525,39553.99230928438,197.5352132946935,38
160,39477,39463.172466492935,197.01045925356658,38
161,39203,39222.142755014815,194.02425046263232,38
162,38516,38502.72509518357,197.88502289402737,37
163,37449,37424.208509762364,197.58443383959428,36
164,36397,36415.120981232,197.44490858554826,35
165,35616,35600.685585068524,200.61824756950926,34
166,34662,34645.61394073679,189.0125867635598,34
167,33283,33277.905054573304,197.51949096324057,32
168,31609,31574.10579104111,189.08405986106362,31
169,29979,29990.480463873275,194.89263247664854,29
170,28628,28653.046176235126,190.2248672728686,28
171,27215,27224.913014666658,200.2846110670859,26
172,25422,25424.595603109265,187.9530286084974,25
173,23396,23403.509391585896,188.09090898882772,23
174,21539,21528.152740304246,191.55495674745686,21
175,19986,19977.555435922077,202.4453286353252,19
176,18445,18428.400784415808,191.16668861778663,18
177,16564,16560.06283597572,195.50993756832128,16
178,14553,14532.250218347826,197.27277568989615,14
179,12726,12731.861330996464,206.06413511821512,12
180,11376,11314.682119142708,195.06773209804766,11
181,9996,10010.505925561709,180.93657015225193,10
182,8382,8398.354794691168,154.0681468430617,9
183,6685,6713.4490903000005,163.2313941627546,7
184,5332,5302.598247320227,137.94384406155928,6
185,4379,4386.574600821277,133.17926219073098,5
186,3585,3581.6019161528257,140.77305192389406,4
