    minute,actual_requests,predicted_requests,response_time,vms_count
52,10311,10274.12569202618,193.7938562779987,10
53,10274,10288.227544018537,192.26824095580884,10
54,10467,10389.809136008822,200.27176098019942,10
55,10763,10625.387178012828,212.76815061887538,10
56,11039,10960.116154122108,182.53080131003725,11
57,11051,11123.562966652391,182.97241480300562,11
58,11173,11184.755902465356,187.48220463365323,11
59,11421,11389.417770715158,196.76315814710875,11
60,11838,11787.863193599227,175.676147860061,12
61,12087,12122.208594227068,184.03188121363377,12
62,12307,12288.787211723075,191.520687008337,12
63,12314,12359.342612328763,191.76061903952387,12
64,12459,12506.981253014552,196.75372509741072,12
65,12905,12849.64277162134,178.15644528620504,13
66,13211,13062.44471264231,187.68780570153405,13
67,13186,13216.748726549726,186.9029312392566,13
68,13259,13141.223770612962,189.19786194479076,13
69,13297,13228.980420423082,190.39621782484465,13
70,13478,13559.646230512904,196.139463337799,13
71,13844,13890.40711266517,176.61896589504482,14
72,14091,13989.35435802546,183.7276532462534,14
73,14045,14066.080901293799,182.39680975621462,14
74,14370,14267.381118035908,191.8683769183953,14
75,14400,14599.538930760962,192.75080785535016,14
76,15041,14934.629229507129,182.20227325472132,15
77,15179,15166.461324719865,185.9353941947341,15
78,15228,15224.114539396522,187.26697575046222,15
79,15412,15459.135796489749,192.2956930217013,15
80,15531,15615.888171914687,195.57206216725575,15
81,15935,15953.471863876763,179.4607824580997,16
82,16070,16065.649199799547,182.86657947989698,16
83,16147,16079.603397350635,184.81857610602702,16
84,16076,16211.123977347977,183.01843646996014,16
85,16315,16429.112500029765,189.10139540410609,16
86,16625,16617.276042812824,197.09105401566848,16
87,16891,16869.51544407456,204.03750887856,16
88,16924,17022.632897215168,179.29658974552052,17
89,17052,17095.788725929007,182.333920643417,17
90,17501,17468.147902048368,193.12149480084037,17
91,17833,17737.21719539012,201.2331023157446,17
92,18099,18067.167988137404,183.32227539619515,18
93,18046,18117.21414557697,182.13038268891665,18
94,18229,18213.26982627999,186.2566753666435,18
95,18509,18478.50793245197,192.62980036463085,18
96,18685,18766.00759892477,196.67302652415202,18
97,18915,18952.009448441426,202.00054770135063,18
98,18899,18910.521606942617,201.62832448789374,18
99,18968,18963.768107032665,203.23526651762955,18
100,19211,19195.08920266777,185.5983554396782,19
101,19402,19507.898518399095,189.70378017213199,19
102,19634,19746.847892927144,194.73123385080424,19
103,19721,19798.96649911462,196.62813153367557,19
104,19881,19943.113869249137,200.13330272905392,19
105,20297,20307.7921304294,187.12415411729108,20
106,20707,20691.598994323038,195.5513532105145,20
107,21023,20895.398265378382,202.1332106775771,20
108,20966,20976.11927963097,200.94034900252888,20
109,21126,21055.488898731783,183.52492726968927,21
110,21384,21335.374316763577,188.5277207918577,21
111,21499,21626.319015196168,190.77216980413579,21
112,21740,21724.5848157788,195.50500733643963,21
113,21733,21746.66815366449,195.36697826640824,21
114,22015,21802.066081339384,200.95428623895674,21
115,22065,22042.33841172824,201.95068234615434,21
116,22389,22309.32009489667,188.28076014444213,22
117,22515,22486.529094380792,190.62729594866522,22
118,22504,22597.706071008135,190.4220479237875,22
119,22886,22825.399010353547,197.59388069427604,22
120,23220,23163.094498690873,184.9720728514912,23
121,23588,23543.187058088617,191.51323734136344,23
122,23649,23727.634937008064,192.6049195537767,23
123,23914,23839.47643286334,197.37212639604542,23
124,23843,23944.72496831303,196.09093345604055,23
125,24287,24247.947276991123,204.1506104571984,23
126,24678,24508.213971376696,192.61835505519156,24
127,24512,24536.164348211016,189.77569633182594,24
128,24533,24609.12186173381,190.13451595892974,24
129,24676,24623.30649004242,192.58402052164223,24
130,24890,24970.429431109274,196.2697057161643,24
131,25091,25224.787678279274,182.56906053917186,25
132,25373,25412.31993799415,187.15271551992709,25
133,25363,25488.758815370253,186.98952719383277,25
134,25683,25660.668827900074,192.2353002431085,25
135,25936,26048.850381262026,196.4176335382661,25
136,26499,26393.098877891585,188.89867296575352,26
137,26509,26614.902269724545,189.05612092119776,26
138,26626,26628.122896881658,190.90155548936247,26
139,26870,26904.473216349732,194.76974590489993,26
140,26991,27061.389350286016,196.6978556323624,26
141,27370,27358.07379592341,186.6566501805783,27
142,27546,27475.065720122293,189.32038308926593,27
143,27300,27411.303954627052,185.60073494144223,27
144,27532,27487.478232813206,189.10803013665526,27
145,27801,27809.22976139809,193.20236233332474,27
146,28127,27996.134944752812,198.2044102162708,27
147,28119,28191.024975448527,198.0811312809961,27
148,28192,28269.089081324215,199.20704227887524,27
149,28537,28508.96053741865,188.89305064338595,28
150,28884,28854.726873545675,193.98853631434264,28
151,29245,29257.655544084046,184.51829293893906,29
152,29450,29467.668982962714,187.39646142487885,29
153,29448,29456.039856457806,187.36830981008683,29
154,29674,29632.63933912623,190.55844263611033,29
155,29963,30004.276669950574,194.66443580202161,29
156,30145,30175.47588559091,197.26561314422094,29
157,30441,30276.873637666562,201.5216758000343,29
158,30316,30280.557016173247,199.72047666538782,29
159,30272,30304.58095977472,199.08780418702764,29
160,30683,30637.00374262774,190.36359706516527,30
161,30837,30895.65545117666,192.47416407225825,30
162,31131,31084.304060173716,196.5254930874798,30
163,31241,31109.907640797464,198.048774985943,30
164,31279,31345.5609233001,198.57594947198635,30
165,31787,31755.62218677232,191.43999554798683,31
166,32108,32026.894596200866,195.71370500526865,31
167,32338,32262.350391984663,198.7958243031673,31
168,32504,32416.771199703886,201.0307222847194,31
169,32485,32491.360603080633,200.77447701460932,31
170,32730,32799.537726176815,190.3824063846792,32
171,32981,33047.50282289898,193.61066762286617,32
172,33076,33102.07023375295,194.83735764627653,32
173,33122,33200.37917886893,195.43229140098316,32
174,33245,33254.88555669826,197.0261675047396,32
175,33502,33427.14749605068,200.37095508536044,32
176,33831,33773.91566093453,191.35559844012215,33
177,33919,33912.73015022707,192.45294427224457,33
178,34114,34030.160466847236,194.89220019895885,33
179,34174,34268.41453963801,195.6448632965044,33
180,34778,34568.06133202206,190.41107420711245,34
181,34975,35001.043911347406,192.79409983352838,34
182,35053,35165.56438133225,193.74042643771332,34
183,35116,35256.46829633287,194.50592687065904,34
184,35394,35326.399044701284,197.89626294949488,34
185,35622,35655.216997366224,200.691995235109,34
186,35959,35887.9135657443,192.26824095580884,35
187,36030,35974.03396426681,193.10416755225498,35
188,35972,35911.72737261449,192.42120522299712,35
189,36000,36047.69356212618,192.75080785535016,35
190,36209,36307.22955931175,195.21715621963023,35
191,36579,36708.84378520879,187.62759292177992,36
192,36836,36833.487075864716,190.55057830905542,36
193,36865,36941.60275759824,190.88136835736287,36
194,36945,37141.96455763156,191.7949033989476,36
195,37424,37424.53905020469,197.2958556179937,36
196,37806,37831.03117887724,189.96038818903418,37
197,37901,38022.34797099183,191.01429415020328,37
198,38064,38062.31016046819,192.82719118755602,37
199,38210,38189.14422635332,194.45597845193748,37
200,38398,38486.62888141882,196.56025469144578,37
201,38781,38696.78474364073,200.87142117925958,37
202,38887,38823.67926870555,190.59979425231955,38
203,38915,38853.323688844444,190.90238701149934,38
204,39002,38931.40969097991,191.84362687191555,38
205,39070,39126.93754594146,192.58040648191655,38
206,39390,39459.088259570635,196.06057702537026,38
207,39659,39600.23155726764,199.00271941434704,38
208,39739,39736.16211363853,199.88064802696994,38
209,39936,39942.83455760533,190.86995856015966,39
210,40568,40225.85165154071,197.5657828182247,39
211,40671,40602.673552106855,198.66457124240281,39
212,40913,40829.31267572452,190.38753630849493,40
213,40978,40861.122524268685,191.05482581041002,40
214,41107,41029.17876902046,192.3814893532196,40
215,41315,41390.97612672027,194.52720558015682,40
