minute,actual_requests,predicted_requests,response_time,vms_count
1,220447,220447.0,4.8787758283596826e+35,1
2,237236,237236.0,2.1703834447004756e+38,1
3,251991,251991.0,4.612406179081104e+40,1
4,268365,268365.0,1.764789093714271e+43,1
5,286930,286930.0,1.4964324529657927e+46,1
6,305146,305146.0,1.117819409403228e+49,1
7,319610,319610.0,2.1372809683836627e+51,1
8,330569,330569.0,1.1441626502673495e+53,1
9,342411,342411.0,8.441013350827406e+54,1
10,356821,356821.0,1.5825842112530976e+57,1
11,369565,369565.0,1.6201353606237815e+59,1
12,377876,377876.0,3.315073544297659e+60,1
13,382876,382876.0,2.0378487470987182e+61,1
14,387849,387849.0,1.240485980645905e+62,1
15,395041,395041.0,1.6905476500381954e+63,1
16,400853,400853.0,1.3956857013941502e+64,1
17,401457,401457.0,1.7380410344573366e+64,1
18,398773,398773.0,6.5568803255909696e+63,1
19,395996,395996.0,2.391470693733863e+63,1
20,395050,395050.0,1.6960827538417255e+63,1
21,393205,393205.0,8.67809836860312e+62,1
22,385628,385628.0,5.536824357326418e+61,1
23,374931,374931.0,1.1375260909743512e+60,1
24,364488,364488.0,2.562871718156776e+58,1
25,356457,356457.0,1.3865994178446118e+57,1
26,347122,347122.0,4.6718375487157e+55,1
27,332951,332951.0,2.7177802420851804e+53,1
28,316246,316246.0,6.298520336821596e+50,1
29,300124,300124.0,1.8039424587087003e+48,1
30,286719,286719.0,1.38603715894906e+46,1
31,272490,272630.79554491676,202.78624251447303,29
32,254964,254634.1855869801,177.75838081257604,28
33,234115,234246.02227613772,169.61864513788873,26
34,215176,215468.60406296342,199.11433295112928,23
35,199965,199684.03540720762,176.4106403050694,22
36,183970,184315.79643342452,185.45926816412106,20
37,165533,165726.28874358695,185.27149776712074,18
38,144634,145110.2631454925,172.4095669304956,16
39,126758,126950.77501321504,173.5710225899399,14
40,112916,112746.87227226832,204.01170480997877,12
41,99580,99701.49053493468,173.45750354234477,11
42,83566,83787.93371574834,124.14420805662678,10
43,66528,66445.65825562864,121.63495138182418,8
44,52605,52746.82444277425,151.7349298956237,6
45,42938,43194.93695378251,139.14710009758275,5
46,34921,35180.94458895325,149.06055345048102,4
47,24867,24935.949870790355,119.98660243277374,3
48,14456,14222.284065032436,66.49635107152434,2
49,7115,7011.114463391859,61.92132645806027,1
50,4315,4624.682214982953,10.0,1
51,3929,3820.1365098839306,10.0,1
52,1296,1281.7629978412006,10.0,1
53,0,0.0,10.0,1
54,0,0.0,10.0,1
55,5020,5016.763601379687,10.0,1
56,12190,12066.360821033522,28.114216312884714,2
57,17272,17378.961865877267,142.45324796870108,2
58,22267,22645.81243935584,74.81706678594088,3
59,30732,30747.007537170794,86.9413425075411,4
60,43829,43734.106832863254,151.61208824864,5
61,57765,57768.09490894401,117.76241039087867,7
62,69927,70090.21117315048,149.81969419275273,8
63,80876,81109.96261117802,168.18955662309455,9
64,94966,95275.96673278211,142.26540193960392,11
65,113586,113447.13404255673,149.56998812321072,13
66,132609,132524.40381934852,209.7723639672255,14
67,148516,148710.279253658,192.64749265513902,16
68,163318,163087.01890074936,175.106750020694,18
69,180090,180252.6412200664,169.6247050277757,20
70,200217,200161.96016775016,177.34319557503252,22
71,220743,220616.11423690547,185.38531548127625,24
72,237868,237804.07275445625,181.2932245843147,26
73,252122,252217.1891888138,169.6134510813077,28
74,268608,268371.73489804275,190.91918016399578,29
75,286653,286892.1176428291,189.5842321901494,31
76,305520,305014.862428099,190.55929445088475,33
77,319435,319452.90493135573,179.46958805688476,35
78,330439,330618.65817956533,183.8050840543857,36
79,342565,342601.34267439606,190.58794905183566,37
80,356315,356240.2345027916,201.02175996052947,38
81,369572,369416.6889782072,188.93380431404475,40
82,377957,377772.9539575625,187.1529239065042,41
83,383000,382771.4169269182,197.86332676291082,41
84,387965,388194.9248166899,188.75901525225532,42
85,395024,395252.5597551997,184.4559140223386,43
86,400630,400589.6439804973,195.69279929293086,43
87,401575,401466.2962686838,197.63995495673393,43
88,398478,398564.0800312575,191.31621159536982,43
89,395748,395888.96288404363,185.87738261662057,43
90,395089,394926.23135645466,203.75758395448835,42
91,392566,392496.7361719671,198.33978502100294,42
92,385486,385548.1442358057,183.75280025855398,42
93,374386,374576.67914420005,199.48794611855266,40
94,364309,364224.5538847864,197.8448966271293,39
95,356088,356126.69421161443,200.48361872133697,38
96,346409,346613.85348067444,199.735025691843,37
97,332849,332994.51140158135,189.49259360917247,36
98,315842,315725.4048276368,193.27753165631404,34
99,299880,299890.0475082711,200.5298008858433,32
100,286384,286352.2646109477,188.8388978762589,31
101,272004,272236.92162902246,201.26878143776204,29
102,254212,254405.13691148444,175.5739154514438,28
103,233782,233905.15472268575,198.7389156110606,25
104,214992,215107.3339757864,198.39944962160644,23
105,199568,199427.7168778542,174.94934358879053,22
106,184133,184026.2035028643,186.14921468487032,20
107,165744,165453.22570088482,186.26369759994694,18
108,144978,145139.56485403003,174.13179174702782,16
109,127033,126852.88867980725,175.15226835375367,14
110,112862,112776.3480828901,203.60132963693246,12
111,99090,99480.82758683333,169.91495146628904,11
112,83610,83550.17284034705,124.41837614058835,10
113,66687,66708.4006527965,122.85868999360719,8
114,53321,52680.49711912517,160.55025043825793,6
115,43396,43544.72145575743,145.45368018378727,5
116,35360,35260.95002979756,157.04498774381352,4
117,25220,25154.602951255554,127.28993099272492,3
118,14308,14637.583764013048,63.47914377120727,2
119,7598,7406.0644286579045,82.8609799567206,1
120,5164,5024.440341601687,10.0,1
121,4388,4262.232203111969,10.0,1
122,1572,1820.9060734072846,10.0,1
123,0,0.0,10.0,1
