minute,requests,response_time,vms_count
1,800,106.00213084517668,1
2,1030,193.33986374999876,1
3,1260,296.67305053463616,1
4,1490,87.20452210735192,2
5,1720,127.38944293003692,2
6,1950,171.09957023417127,2
7,2180,218.6441513812635,2
8,2410,107.16585904010725,3
9,2640,134.7296149509483,3
10,2870,163.88268962088085,3
11,3100,194.71672274248425,3
12,3330,227.3286379283872,3
13,3560,138.4401512260947,4
14,3790,160.3103668680879,4
15,4020,183.11969759868413,4
16,4250,206.90846936455358,4
17,4480,140.6795310545183,5
18,4710,158.17843817411853,5
19,4940,176.2759349434553,5
20,5170,194.99249747376933,5
21,5400,214.34930230794401,5
22,5630,156.76190813829447,6
23,5860,171.76046022128213,6
24,6090,187.18535891305538,6
25,6320,203.04872347884867,6
26,6550,155.75242363896194,7
27,6780,168.55795430926304,7
28,7010,181.67486518277423,7
29,7240,195.11072780287344,7
30,7470,208.8732978231314,7
31,7700,166.1684843753696,8
32,7930,177.57773260477774,8
33,8160,189.2293648223452,8
34,8390,201.12853035925735,8
35,8620,164.31732775315112,9
36,8850,174.41208895845517,9
37,9080,184.69725656266752,9
38,9310,195.1764219926685,9
39,9540,205.85324441648123,9
40,9770,171.8927348947414,10
41,10000,181.09798785054676,10
42,10230,190.45936016531965,10
43,10460,199.97949959402814,10
44,10690,209.66109879706647,10
45,10920,178.17048226308958,11
46,11150,186.62919848223515,11
47,11380,195.21823135623248,11
48,11610,203.93958856923763,11
49,11840,175.74275838770058,12
50,12070,183.45736841285458,12
51,12300,191.28085729433684,12
52,12530,199.21476167564794,12
53,12760,207.26063988744926,12
54,12990,180.7876110978189,13
55,13220,187.97063079144112,13
56,13450,195.2471781092268,13
57,13680,202.61847084214043,13
58,13910,178.50948393596633,14
59,14140,185.1488122455675,14
60,14370,191.8683769183953,14
61,14600,198.66914761187348,14
62,14830,205.55210570174728,14
63,15060,182.71476412331214,15
64,15290,188.95639874150578,15
65,15520,195.2684066688143,15
66,15750,201.65158135165626,15
67,15980,180.59371426002787,16
68,16210,186.42078124709673,16
69,16440,192.30941955647955,16
70,16670,198.26027977752796,16
71,16900,204.2740193740031,16
72,17130,184.19301063509073,17
73,17360,189.71139438764936,17
74,17590,195.28464081031763,17
75,17820,200.9132953368142,17
76,18050,182.22024735639724,18
77,18280,187.41210182430046,18
78,18510,192.65269168092203,18
79,18740,197.94247440020087,18
80,18970,203.28191175033527,18
81,19200,185.3628351231818,19
82,19430,190.30816273759893,19
83,19660,195.29745756664448,19
84,19890,200.33111050777046,19
85,20120,183.52492726968927,20
86,20350,188.20642775725986,20
87,20580,192.92746002059454,20
88,20810,197.68835787601978,20
89,21040,202.4894579586915,20
90,21270,186.31164141139237,21
91,21500,190.79172619339982,21
92,21730,195.3078332485623,21
93,21960,199.86025221518486,21
94,22190,204.44927506041967,21
95,22420,188.8571713343892,22
96,22650,193.15237012676397,22
97,22880,197.48052879874655,22
98,23110,201.84190027312712,22
99,23340,187.09665849590027,23
100,23570,191.19150592274235,23
101,23800,195.3164046074766,23
102,24030,199.47157509021287,23
103,24260,203.6572395295603,23
104,24490,189.4000362057016,24
105,24720,193.33986374999876,24
106,24950,197.30739593363143,24
107,25180,201.30282757402102,24
108,25410,187.75692750291267,25
109,25640,191.5275407891084,25
110,25870,195.32360464924324,25
111,26100,199.14529086749752,25
112,26330,202.99277238754684,25
113,26560,189.85979461878622,26
114,26790,193.4985608805885,26
115,27020,197.16094008776219,26
116,27250,200.84708547114127,26
117,27480,188.31999511087184,27
118,27710,191.81395116799382,27
119,27940,195.32973809037384,27
120,28170,198.86749228118055,27
121,28400,202.42735099585428,27
122,28630,190.25417352654227,28
123,28860,193.63462251928974,28
124,29090,197.0354365524325,28
125,29320,200.45673831229777,28
126,29550,188.80585371484318,29
127,29780,192.06097373206563,29
128,30010,195.33502559295113,29
129,30240,198.62811940548437,29
130,30470,201.94036591803996,29
131,30700,190.59619293945008,30
132,30930,193.75256913928303,30
133,31160,196.92668925177867,30
134,31390,200.11865302627467,30
135,31620,189.2293648223452,31
136,31850,192.27621077256532,31
137,32080,195.3396308773627,31
138,32310,198.4197152963995,31
139,32540,201.5165546797852,31
140,32770,190.89563092976317,32
141,33000,193.85579264681502,32
142,33230,196.8315524457284,32
143,33460,199.8229925180123,32
144,33690,202.8301954882699,32
145,33920,192.465426410745,33
146,34150,195.34367797640408,33
147,34380,198.23663524989826,33
148,34610,201.14437336637042,33
149,34840,191.1599735354029,34
150,35070,193.94688788357558,34
151,35300,196.74762144290338,34
152,35530,199.56224273741458,34
153,35760,202.3908206309207,34
154,35990,192.63307049574024,35
155,36220,195.34726257399785,35
156,36450,198.07452780602517,35
157,36680,200.8149291598607,35
158,36910,191.39504916216885,36
159,37140,194.0278737632537,36
160,37370,196.67302652415202,36
161,37600,199.33056517127847,36
162,37830,202.00054770135063,36
163,38060,192.78263298585756,37
164,38290,195.3504596666732,37
165,38520,197.92998444869494,37
166,38750,200.52126062429392,37
167,38980,191.60546332718633,38
168,39210,194.10034465628797,38
169,39440,196.60629201160162,38
170,39670,199.12335447639788,38
171,39900,201.65158135165626,38
172,40130,192.91688953063573,39
173,40360,195.35332886777707,39
174,40590,197.80029731665155,39
175,40820,200.25784037898467,39
176,41050,191.7949033989476,40
177,41280,194.16557640910236,40
178,41510,196.5462376594258,40
179,41740,198.93692923288012,40
180,41970,201.33769338973292,40
181,42200,193.0380753264164,41
182,42430,195.3559181593027,41
183,42660,197.68328797006944,41
184,42890,200.0202239172425,41
185,43120,191.96635653547145,42
186,43350,194.22460210383036,42
187,43580,196.4919082456119,42
188,43810,198.76831131381135,42
189,44040,201.0538478072803,42
190,44270,193.14801055135825,43
191,44500,195.35826659673972,43
192,44730,197.57718403433222,43
193,44960,199.8047968057761,43
194,45190,202.04113898571933,43
195,45420,194.27826717693512,44
196,45650,196.4425223834947,44
197,45880,198.61506559599758,44
198,46110,200.79592855332652,44
