minute,requests,response_time,vms_count
1,22045,2660033337.120549,1
2,23723,1552210.38266013,2
3,25199,123146.47261511534,3
4,26836,35508.62599355765,4
5,28693,17276.898449621443,5
6,30515,10578.765333585627,6
7,31961,7115.6144059816925,7
8,33057,5080.974989990843,8
9,34241,3919.7661728111166,9
10,35682,3238.7827441936606,10
11,36956,2728.2232773420365,11
12,37788,2285.8491377464857,12
13,38288,1918.0853625749016,13
14,38785,1643.3410823359698,14
15,39505,1451.7576349872606,15
16,40085,1288.4806205845764,16
17,40146,1122.8830060754658,17
18,39877,971.4955023230566,18
19,39600,848.7206884950433,19
20,39505,755.3230552189552,20
21,39320,673.7202617873531,21
22,38563,586.3070901305546,22
23,37493,504.14876481590403,23
24,36448,435.6610993042123,24
25,35646,382.734044717004,25
26,34712,334.3435021163569,26
27,33295,283.6941771903691,27
28,31625,235.90332896133947,28
29,30012,195.3635789601198,29
30,28672,176.55191995688944,29
31,27249,157.25881527122255,29
32,25497,134.4364906324248,29
33,23411,108.54593493041222,29
34,21518,86.20077833369544,29
35,19996,68.99258088000971,29
36,18397,51.61120498214382,29
37,16553,38.47410573858815,28
38,14463,16.73100744391536,28
39,12676,10.0,28
40,11291,10.0,27
41,9958,10.0,27
42,8356,10.0,27
43,6653,10.0,26
44,5260,10.0,26
45,4293,10.0,26
46,3493,10.0,25
47,2487,10.0,25
48,1445,10.0,25
49,712,10.0,24
50,431,10.0,24
51,393,10.0,24
52,130,10.0,23
53,0,10.0,23
54,0,10.0,23
55,502,10.0,22
56,1219,10.0,22
57,1727,10.0,22
58,2227,10.0,21
59,3074,10.0,21
60,4383,10.0,21
61,5776,10.0,20
62,6993,10.0,20
63,8087,10.0,20
64,9497,12.02849472975339,19
65,11358,40.45764931075439,19
66,13261,71.71235159454653,19
67,14851,114.81935388110776,18
68,16332,144.9363700202245,18
69,18009,181.2998263758431,18
70,20022,228.3501256776927,18
71,22075,250.44001710644028,19
72,23787,263.0635508498539,20
73,25212,268.28649047049186,21
74,26860,277.8624337106324,22
75,28666,290.0424141760547,23
76,30552,303.048757722518,24
77,31944,305.3984470609519,25
78,33044,302.0260814624375,26
79,34257,300.97136620392604,27
80,35632,302.8376020953786,28
81,36957,303.72878840290497,29
82,37796,296.6079721405412,30
83,38300,284.81305976233654,31
84,38796,273.8268287555164,32
85,39503,266.6477925360951,33
86,40063,257.972928745316,34
87,40158,243.9005575099912,35
88,39848,225.96936245144167,36
89,39575,209.91355230515268,37
90,39509,197.36024142556874,38
91,39257,194.61152834049523,38
92,38549,186.95990074917717,38
93,37439,175.1715739911097,38
94,36430,164.67216259771402,38
95,35609,156.2781769677054,38
96,34641,146.55009817495255,38
97,33285,133.22387993948252,38
98,31585,117.00077051456765,38
99,29988,102.2365089384977,38
100,28639,90.11366843878642,38
101,27200,77.52425138335155,38
102,25421,62.43449908931814,38
103,23378,50.82681592275679,37
104,21499,35.45485841242021,37
105,19957,23.259401173168044,37
106,18413,15.29857538068967,36
107,16575,10.0,36
108,14498,10.0,36
109,12704,10.0,35
110,11286,10.0,35
111,9909,10.0,35
112,8361,10.0,34
113,6668,10.0,34
114,5332,10.0,34
115,4339,10.0,33
116,3537,10.0,33
117,2522,10.0,33
118,1430,10.0,32
119,760,10.0,32
120,516,10.0,32
121,439,10.0,31
122,157,10.0,31
123,0,10.0,31
124,0,10.0,30
125,533,10.0,30
126,1284,10.0,30
127,1763,10.0,29
128,2259,10.0,29
129,3106,10.0,29
130,4388,10.0,28
131,5787,10.0,28
132,7027,10.0,28
133,8115,10.0,27
134,9553,10.0,27
135,11344,10.0,27
136,13282,15.121832452608771,26
137,14849,32.51269373962191,26
138,16314,49.47954521425754,26
139,18022,79.19639308023824,25
140,20010,106.14162851323397,25
141,22068,135.73619608319137,25
142,23774,161.65594387943707,25
143,25169,183.8331000485951,25
144,26816,211.20829540732615,25
145,28703,224.6931943412289,26
146,30528,236.43703222548635,27
147,31891,240.132933034087,28
148,32994,239.57912382057094,29
149,34233,241.08785070495338,30
150,35643,244.9816086115564,31
151,36930,246.91572792425478,32
152,37758,242.46842018384592,33
153,38218,233.50978343205446,34
154,38772,226.35463872757276,35
155,39485,221.58504506434411,36
156,40019,215.03205379929904,37
157,40137,204.26848585355418,38
158,39813,189.57601344709752,39
159,39525,186.5579359595069,39
160,39477,186.05650552686842,39
161,39203,183.2027974792274,39
162,38516,176.1118252505998,39
163,37449,165.27812625624978,39
164,36397,154.80681807015736,39
165,35616,147.1654607715672,39
166,34662,137.9820043594276,39
167,33283,124.99436614739841,39
168,31609,109.67299524939324,39
169,29979,95.20935869105176,39
170,28628,83.55190735986235,39
171,27215,71.67130042740405,39
172,25422,62.44283697269344,38
173,23396,45.875162261934065,38
174,21539,31.246486498031402,38
175,19986,23.48534588369273,37
176,18445,11.656696701152555,37
177,16564,10.0,37
178,14553,10.0,36
179,12726,10.0,36
180,11376,10.0,36
181,9996,10.0,35
182,8382,10.0,35
183,6685,10.0,35
184,5332,10.0,34
185,4379,10.0,34
186,3585,10.0,34
187,2571,10.0,33
188,1490,10.0,33
189,757,10.0,33
190,505,10.0,32
191,446,10.0,32
192,222,10.0,32
193,0,10.0,31
194,0,10.0,31
195,544,10.0,31
196,1264,10.0,30
197,1777,10.0,30
198,2282,10.0,30
199,3109,10.0,29
200,4375,10.0,29
201,5821,10.0,29
202,7029,10.0,28
203,8145,10.0,28
204,9549,10.0,28
205,11314,10.0,27
206,13208,10.0,27
207,14849,26.321625151695798,27
208,16301,49.32589137505653,26
209,17984,69.69270794664811,26
210,20077,96.40369154800834,26
211,22038,135.29186938176827,25
212,23732,161.00217494793065,25
213,25181,184.02782374321038,25
214,26786,210.69777551159706,25
215,28652,223.83959571391216,26
216,30487,235.76308222738845,27
217,31861,239.65443876141416,28
218,32978,239.33290332662312,29
219,34176,240.2382520905631,30
220,35604,244.41534382372294,31
221,36939,247.04278982489058,32
222,37684,241.4635677960344,33
223,38219,233.5227814179339,34
224,38711,225.59402661275016,35
225,39450,221.16402087249134,36
226,40039,215.26367570596773,37
227,40089,203.73751569125085,38
228,39773,189.15586086427032,39
229,39530,186.6101942521114,39
230,39478,186.0669473922166,39
231,39212,183.29629974457936,39
232,38513,176.08106016344522,39
233,37439,165.17761368404916,39
234,36417,155.0039725495182,39
235,35660,147.5929919421647,39
236,34690,138.24920659067783,39
237,33253,124.71553665115613,39
238,31604,109.62794898796199,39
239,30003,95.4191298811308,39
240,28695,84.12310186521182,39
241,27253,71.98670604719752,39
242,25474,62.876628066832495,38
243,23447,46.284340501446934,38
244,21589,31.63355667605873,38
245,19996,23.56328788201006,37
246,18462,11.785232681593243,37
247,16593,10.0,37
248,14549,10.0,36
249,12803,10.0,36
250,11365,10.0,36
